id,model,predicted,correct_choice,is_correct,latency_sec,input_tokens,output_tokens,explanation
1,openai_new,,B,False,8.4,356,378,"Seçenek: D  
Açıklama: IV’teki “ışığında” daha çok “-e göre/-den hareketle” demektir; “kılavuzluğunda” (rehberliğinde) anlamıyla tam uyuşmaz."
1,openai_mini,,B,False,2.047,357,59,"Seçenek: C  
Açıklama: III. ""Ruhsal direnci artırmak"" ifadesi, ""koruyucu etkisi"" ile tam olarak örtüşmüyor; çünkü koruyucu etki, direnci artırmaktan farklı bir kavramdır."
1,openai_4o,,B,False,1.176,357,58,"Seçenek: C  
Açıklama: ""Ruhsal direnci artıracağını"" ifadesi, parantez içindeki ""dayanıklılığı"" ile uyumlu değil. ""Direnç"" ve ""dayanıklılık"" farklı kavramlardır."
1,claude_old_haiku,,B,False,1.252,512,104,"Seçenek: C
Açıklama: ""Ruhsal direnç (dayanıklılık)"" ifadesi, parçada ""ruhsal direnci (dayanıklılığı) artıracağını"" şeklinde geçmektedir. Bu ifade, parantez içindeki ""dayanıklılık"" açıklamasıyla uyuşmaktadır."
1,claude_new_haiku,,B,True,2.973,512,175,"Seçenek: B

Açıklama: ""Koruyucu"" sözcüğü parantezde ""önleyici"" olarak açıklanmıştır. Ancak metinde ""ruh sağlığı üzerinde koruyucu bir etkisi"" ifadesi, hastalığı önlemekten ziyade sağlığı koruyan/destekleyen anlamındadır. ""Önleyici"" daha çok hastalıktan korunmayı vurgularken, ""koruyucu"" burada var olan sağlığı muhafaza etmeyi ifade eder. Anlam tam olarak uyuşmamaktadır."
1,claude_sonnet,,B,False,6.805,512,302,"Metindeki numaralanmış sözcüklerin parantez içindeki açıklamalarını kontrol ediyorum:

I. ""işaret ediyor"" - (dikkat çekiyor) ✓ Uyumlu
II. ""koruyucu"" - (önleyici) ✓ Uyumlu
III. ""direnci"" - (dayanıklılığı) ✓ Uyumlu
IV. ""ışığında"" - (kılavuzluğunda) ✗ Uyumsuz - ""ışığında"" kelimesi ""doğrultusunda, çerçevesinde"" anlamına gelir, ""kılavuzluğunda"" ise ""rehberliğinde, yönlendirmesiyle"" anlamına gelir.
V. ""dâhil edilmesinin"" - (içine katılmasının) ✓ Uyumlu

Seçenek: D
Açıklama: ""Işığında"" kelimesi ""doğrultusunda/çerçevesinde"" anlamındadır, ""kılavuzluğunda"" anlamıyla uyuşmaz."
1,gemini_old_flash,,B,False,0.937,348,44,"Seçenek: D
Açıklama: Bulgular ışığında ifadesi, bulguların yol göstermesi anlamında kullanılmıştır, kılavuzluğunda ifadesi de aynı anlamı taşır."
1,gemini_new_flash,,B,False,1.076,348,87,"Seçenek: D
Açıklama: ""Işığında"" bir şeyin rehberliğinde veya doğrultusunda anlamı taşırken, ""kılavuzluğunda"" da benzer bir anlam ifade eder. Ancak ""kılavuzluğunda"" daha çok bir yol göstericiye atıfta bulunur. Bu durumda, araştırmacıların bulguları bir yol gösterici olarak kabul edilebilir."
1,gemini_pro,,B,False,6.057,348,510,"Seçenek: A
Açıklama: ""İşaret etmek"" bir şeyi göstermek"
1,grok_old,,B,False,2.363,335,72,"Seçenek: A
Açıklama: I numaralı söz ""işaret ediyor"" ile parantezdeki ""dikkat çekiyor"" anlam açısından uyuşmaktadır, ancak soru uyuşmayan şıkkı sorduğu için diğer seçenekler kontrol edilmelidir. Sorunun doğru cevabı A şıkkı olarak belirlenmiştir."
1,grok_old_mini,,B,True,12.621,336,1339,"Seçenek: B  
Açıklama: ""Koruyucu"" protective (koruma sağlayan) anlamındayken, ""önleyici"" preventive (önleyen) anlamında; bunlar tam eşdeğer olmadığından uyuşmuyor."
1,grok_new,,B,False,24.45,481,2121,"Seçenek: E  
Açıklama: ""Dâhil edilmek"" nesneleri plana katmak anlamındadır, ancak ""içine katılmak"" gönüllü katılımı ifade eder ve nesneler için uygun değildir; diğer eş anlamlar doğrudur."
1,deepseek_v3,,B,False,3.169,472,66,"Seçenek: C
Açıklama: ""Ruhsal direnç"" ile ""dayanıklılık"" aynı anlama gelir, ancak ""koruyucu"" ile ""önleyici"" aynı anlamda değildir."
1,deepseek_r1,,B,False,29.792,474,512,ERROR: No response
1,deepseek_32,,B,False,14.014,473,155,"Seçenek: D
Açıklama: ""Işığında"" ifadesi ""kılavuzluğunda"" ile tam uyuşmaz; ""ışığında"" daha çok ""yol gösterici olarak"" veya ""rehberliğinde"" anlamına gelirken, ""kılavuzluğunda"" ise daha doğrudan rehberlik etmeyi ifade eder ve burada anlam inceliği farkı vardır. Diğer numaralı sözler parantez içindeki açıklamalarla anlamca örtüşmektedir."
1,mock,,B,False,0.101,10,5,Mock cevap

2,openai_new,,A,True,4.239,321,195,"Seçenek: A  
Açıklama: İlk boşluk “toplumdaki aksaklıkları gidermeye yardım” düşüncesine uygun olarak “doğru yolu göstermesini”, ikinci boşluk ise romanın “sanat eseri” olmasına uygun olarak “edebî güzelliğin” beklenmesini tamamlar."
2,openai_mini,,A,True,5.554,322,77,"Seçenek: A  
Açıklama: İlk kısımda romanın toplumsal sorunlara çözüm sunması beklenirken, ikinci kısımda ise romanın sanatsal yönü vurgulanıyor. Bu nedenle ""doğru yolu göstermesini"" ve ""edebî güzelliğin"" ifadesi en uygun olanıdır."
2,openai_4o,,A,True,1.711,322,62,"Seçenek: A  
Açıklama: İlk boşlukta ""doğru yolu göstermesini"" toplumsal aksaklıkların giderilmesiyle uyumlu, ikinci boşlukta ""edebî güzelliğin"" sanat eseri vurgusuyla uyumlu."
